name,speciality,rating,delivery_time,pricing,offer,conditions
The Green Chef,"Healthy Food, Indian, Italian",4.2,47 MINS,Rs. 300 FOR TWO, ,Rs. 30 distance fee applicable
Hyderabadi Laziz,"North Indian, Biryani",3.7,47 MINS,Rs. 400 FOR TWO, ,Rs. 30 distance fee applicable
Shahji's Parantha House,North Indian,4.4,53 MINS,Rs. 500 FOR TWO, ,Rs. 30 distance fee applicable
Hotel Malabar,"North Indian, Chinese",3.8,53 MINS,Rs. 400 FOR TWO,60% off on all orders,Rs. 30 distance fee applicable
SLAY Coffee,"Beverages, Cafe, Desserts",4.2,45 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Daiwong,"Chinese, Seafood",3.8,43 MINS,Rs. 400 FOR TWO,20% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Onesta,"Italian, Desserts, Pizzas",3.6,38 MINS,Rs. 200 FOR TWO, , 
The Burger Project,"American, Fast Food, Beverages, Desserts",3.6,45 MINS,Rs. 200 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Punjabi Chef,North Indian,4.3,33 MINS,Rs. 300 FOR TWO,20% off on all orders, 
Sweet Truth,"Bakery, Desserts, Ice Cream",4.1,43 MINS,Rs. 200 FOR TWO, ,Rs. 10 distance fee applicable
Biryani Adda,"Biryani, Hyderabadi, Kebabs, Tandoor",3.8,47 MINS,Rs. 300 FOR TWO,10% off on orders above Rs. 99,Rs. 30 distance fee applicable
Won China,Chinese,4.3,32 MINS,Rs. 300 FOR TWO,30% off | Use coupon SWIGGYIT, 
Cafe food & fit,"Healthy Food, Fast Food",4.1,49 MINS,Rs. 300 FOR TWO, ,Rs. 30 distance fee applicable
Cafe Durga (Viman Nagar),"South Indian, Fast Food",3.9,46 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Kerala cafe,South Indian,3.8,42 MINS,Rs. 1000 FOR TWO, , 
Mandarin Oak,"Asian, Chinese, Thai",4.1,43 MINS,Rs. 350 FOR TWO, ,Rs. 10 distance fee applicable
Mayur Veg Thali (Magarpatta),"North Indian, Rajasthani",3.9,47 MINS,Rs. 600 FOR TWO, ,Rs. 30 distance fee applicable
Piazza,"Pizzas, Salads, Combo, Italian, Mexican, Desserts, Beverages",3.5,51 MINS,Rs. 350 FOR TWO, ,Rs. 30 distance fee applicable
